Diagnosis	I
of	O
heart	I
failure	I
with	I
preserved	I
ejection	I
fraction	I
:	O
role	O
of	O
clinical	I
Doppler	I
echocardiography	I
.	O

In	O
developed	O
countries	O
,	O
at	O
least	O
38–54	O
%	O
of	O
patients	I
with	O
heart	I
failure	I
show	O
preserved	I
left	I
ventricular	I
(	O
LV	I
)	O
ejection	I
fraction	I
.	O

The	O
prevalence	I
of	O
heart	I
failure	I
with	I
preserved	I
ejection	I
fraction	I
(	O
HFPEF	I
)	O
is	O
steadily	O
increasing	O
and	O
its	O
prognosis	I
is	O
poor	O
.	O

LV	I
diastolic	I
dysfunction	I
,	O
either	O
alone	O
or	O
in	O
combination	O
with	O
other	O
factors	O
(	O
figure	O
1	O
)	O
,	O
is	O
the	O
major	O
underlying	O
mechanism	O
of	O
HFPEF	I
.	O

In	O
the	O
general	O
population	O
,	O
the	O
presence	O
of	O
even	O
mild	O
clinical	I
diastolic	I
dysfunction	I
has	O
been	O
associated	O
with	O
pronounced	O
increases	O
in	O
all	O
cause	O
mortality	I
.	O

Hence	O
,	O
the	O
diagnosis	I
of	O
clinical	I
(	O
prognostic	I
)	O
diastolic	I
dysfunction	I
leading	O
to	O
HFPEF	I
is	O
of	O
critical	O
importance	O
.	O

The	O
European	O
Society	O
of	O
Cardiology	I
guidelines	O
based	O
definition	O
of	O
HFPEF	I
requires	O
a	O
presence	O
of	O
signs	O
and	O
symptoms	I
of	O
heart	I
failure	I
,	O
preserved	I
LV	I
ejection	I
fraction	I
of	O
a	O
non-dilated	I
left	I
ventricle	I
,	O
and	O
evidence	O
of	O
diastolic	I
dysfunction	I
(	O
impaired	O
LV	I
relaxation	I
or	O
increased	O
LV	I
diastolic	I
stiffness	I
)	O
with	O
elevated	O
LV	I
filling	I
pressures	I
.	O

LV	I
diastolic	I
dysfunction	I
and	O
filling	I
pressures	I
can	O
be	O
assessed	O
non-invasively	I
using	O
Doppler	I
echocardiography	I
.	O

Soluble	O
ST2	I
in	O
ambulatory	I
patients	I
with	O
heart	I
failure	I
:	O
Association	O
with	O
functional	I
capacity	I
and	O
long-term	O
outcomes	I
.	O

BACKGROUND	O
:	O

ST2	I
is	O
involved	O
in	O
cardioprotective	I
signaling	I
in	O
the	O
myocardium	I
and	O
has	O
been	O
identified	O
as	O
a	O
potentially	O
promising	O
biomarker	I
in	O
heart	I
failure	I
(	O
HF	I
)	O
.	O

We	O
evaluated	O
ST2	I
levels	O
and	O
their	O
association	O
with	O
functional	I
capacity	I
and	O
long-term	O
clinical	I
outcomes	I
in	O
a	O
cohort	O
of	O
ambulatory	I
patients	I
with	O
HF	I
enrolled	O
in	O
the	O
Heart	I
Failure	I
:	O
A	O
Controlled	O
Trial	O
Investigating	O
Outcomes	I
of	O
Exercise	O
Training	O
(	O
HF-ACTION	I
)	O
study-a	O
multicenter	O
,	O
randomized	I
study	O
of	O
exercise	O
training	O
in	O
HF	I
.	O

METHODS	O
AND	O
RESULTS	O
:	O

HF-ACTION	I
randomized	I
2331	O
patients	I
with	O
left	I
ventricular	I
ejection	I
fraction	I
<	O
0.35	O
and	O
New	I
York	I
Heart	I
Association	I
class	I
II	I
to	O
IV	I
HF	I
to	O
either	O
exercise	O
training	O
or	O
usual	O
care	O
.	O

ST2	I
was	O
analyzed	O
in	O
a	O
subset	O
of	O
910	O
patients	I
with	O
evaluable	O
plasma	I
samples	O
.	O

Correlations	I
and	O
Cox	I
models	I
were	O
used	O
to	O
assess	O
the	O
relationship	O
among	O
ST2	I
,	O
functional	I
capacity	I
,	O
and	O
long-term	O
outcomes	I
.	O

The	O
median	O
baseline	I
ST2	I
level	O
was	O
23.7	O
ng	O
/	O
mL	O
(	O
interquartile	I
range	I
,	O
18.6	O
-	O
31.8	O
)	O
.	O

ST2	I
was	O
modestly	O
associated	O
with	O
measures	O
of	O
functional	I
capacity	I
.	O

In	O
univariable	I
analysis	I
,	O
ST2	I
was	O
significantly	I
associated	O
with	O
death	I
or	O
hospitalization	I
(	O
hazard	I
ratio	I
,	O
1.48	O
;	O
P	I
<	O
0.0001	O
)	O
,	O
cardiovascular	I
death	I
or	O
HF	I
hospitalization	I
(	O
